date,q.cms,site
2021-06-18,5.664117813650524,PL
2021-06-19,5.2393089776267345,PL
2021-06-20,5.324270744831492,PL
2021-06-21,5.352591333899745,PL
2021-06-22,5.0127442650807135,PL
2021-06-23,5.465873690172756,PL
2021-06-24,5.324270744831492,PL
2021-06-25,4.871141319739451,PL
2021-06-26,4.531294250920419,PL
2021-06-27,4.33305012744265,PL
2021-06-28,4.163126593033135,PL
2021-06-29,4.3047295383743975,PL
2021-06-30,3.851600113282356,PL
2021-07-01,3.709997167941093,PL
2021-07-02,3.851600113282356,PL
2021-07-03,3.6250354007363352,PL
2021-07-04,3.2285471537807986,PL
2021-07-05,3.200226564712546,PL
2021-07-06,2.9170206740300197,PL
2021-07-07,2.7017841971112997,PL
2021-07-08,2.781081846502407,PL
2021-07-09,2.5460209572359105,PL
2021-07-10,2.455395072217502,PL
2021-07-11,2.3619371282922685,PL
2021-07-12,2.237326536391957,PL
2021-07-13,2.175021240441801,PL
2021-07-14,2.0305862361937126,PL
2021-07-15,1.9626168224299063,PL
2021-07-16,2.1778532993486266,PL
2021-07-17,1.860662701784197,PL
2021-07-18,1.7728688756726139,PL
2021-07-19,1.7247238742565845,PL
2021-07-20,2.022090059473237,PL
2021-07-21,1.676578872840555,PL
2021-07-22,1.6794109317473802,PL
2021-07-23,1.5604644576607192,PL
2021-07-24,1.3508920985556498,PL
2021-07-25,1.2574341546304162,PL
2021-07-26,1.1809685641461343,PL
2021-07-27,1.2036250354007363,PL
2021-07-28,1.2687623902577172,PL
2021-07-29,1.212121212121212,PL
2021-07-30,1.212121212121212,PL
2021-07-31,1.1384876805437554,PL
2021-08-01,1.1554800339847067,PL
2021-08-02,1.5321438685924667,PL
2021-08-03,1.8011894647408666,PL
2021-08-04,2.1353724157462475,PL
2021-08-05,2.373265363919569,PL
2021-08-06,2.327952421410365,PL
2021-08-07,2.316624185783064,PL
2021-08-08,2.344944774851317,PL
2021-08-09,2.5120362503540075,PL
2021-08-10,2.2996318323421128,PL
2021-08-11,2.2344944774851316,PL
2021-08-12,2.6366468422543186,PL
2021-08-13,2.945341263098272,PL
2021-08-14,3.0869442084395353,PL
2021-08-15,3.0019824412347775,PL
2021-08-16,2.7527612574341545,PL
2021-08-17,2.8150665533843102,PL
2021-08-18,3.6250354007363352,PL
2021-08-19,3.426791277258567,PL
2021-08-20,3.5117530444633247,PL
2021-08-21,3.7383177570093458,PL
2021-08-22,3.936561880487114,PL
2021-08-23,3.5683942225998297,PL
2021-08-24,3.6816765788728403,PL
2021-08-25,3.936561880487114,PL
2021-08-26,3.6250354007363352,PL
2021-08-27,3.455111866326819,PL
2021-08-28,3.483432455395072,PL
2021-08-29,3.3135089209855564,PL
2021-08-30,3.200226564712546,PL
2021-08-31,3.0586236193712826,PL
2021-09-01,2.945341263098272,PL
2021-09-02,2.973661852166525,PL
2021-09-03,2.973661852166525,PL
2021-09-04,3.0019824412347775,PL
2021-09-05,2.9170206740300197,PL
2021-09-06,2.6961200792976494,PL
2021-09-07,2.5375247805154344,PL
2021-09-08,2.4950438969130553,PL
2021-09-09,2.3421127159444914,PL
2021-09-10,2.478051543472104,PL
2021-09-11,2.370433305012744,PL
2021-09-12,2.398753894080997,PL
2021-09-13,2.424242424242424,PL
2021-09-14,2.421410365335599,PL
2021-09-15,2.455395072217502,PL
2021-09-16,2.520532427074483,PL
2021-09-17,2.560181251770037,PL
2021-09-18,2.5177003681676577,PL
2021-09-19,2.531860662701784,PL
2021-09-20,2.6111583120928916,PL
2021-09-21,2.4327386009629,PL
2021-09-22,2.21750212404418,PL
