"site_reach","triplicate","field_date","sample_type","lyophilize_date","ext_weight_mg","ext_volume_mL","ext_method","MCY_ug_g","ATXa_ug_g","HTXa_ug_g","dhATXa_ug_g","dhHTXa_ug_g","MCY_det_limit","ATX_det_limit","ATX_all_ug_g"
"SFE-SH-1S","n","2023-08-14","TM","11/3/2023",159.9,10,"50% methanol","ND","ND","ND","ND","ND","0.12",0.0488,"ND"
"SFE-M-1S","n","2023-08-14","TM","11/3/2023",207.4,10,"50% methanol","ND","0.964","ND","0.099","ND","0.09",0.0376,"ND"
"SFE-M-2","n","2023-08-14","TM","11/3/2023",184,10,"50% methanol","ND","1.643","ND","0.289","ND","0.1",0.0424,"ND"
"SFE-M-3","y","2023-08-14","TM","11/3/2023",207,10,"50% methanol","ND","5.235","ND","1.061","ND","0.09",0.0377,"ND"
"SFE-M-3","y","2023-08-14","TM","11/3/2023",199.2,10,"50% methanol","ND","5.405","ND","1.174","ND","0.09",0.0392,"ND"
"SFE-M-3","y","2023-08-14","TM","11/3/2023",231.3,10,"50% methanol","ND","5.857","ND","1.208","ND","0.08",0.0338,"ND"
"SFE-SH-1S","n","2023-08-22","TM","11/3/2023",242,10,"50% methanol","ND","1.421","ND","0.29","ND","0.08",0.0323,"ND"
"SFE-M-1S","n","2023-08-22","TM","11/3/2023",232.5,10,"50% methanol","ND","3.252","ND","0.582","ND","0.08",0.0336,"ND"
"SFE-M-2","n","2023-08-22","TM","11/3/2023",195.4,10,"50% methanol","ND","14.72","ND","2.57","ND","0.1",0.04,"ND"
"SFE-M-3","y","2023-08-22","TM","11/3/2023",213.2,10,"50% methanol","ND","5.969","ND","1.016","ND","0.09",0.0366,"ND"
"SFE-M-3","y","2023-08-22","TM","11/3/2023",212.8,10,"50% methanol","ND","6.516","ND","1.12","ND","0.09",0.0367,"ND"
"SFE-M-3","y","2023-08-22","TM","11/3/2023",217.9,10,"50% methanol","ND","6.389","ND","1.077","ND","0.09",0.0358,"ND"
"SFE-M-4","n","2023-08-22","TM","11/3/2023",219.9,10,"50% methanol","ND","83.438","0.016","15.628","ND","0.09",0.0355,"ND"
"SFE-SH-1S","y","2023-08-28","TM","11/3/2023",150.6,10,"50% methanol","ND","6.294","ND","1.406","ND","0.12",0.0518,"ND"
"SFE-SH-1S","y","2023-08-28","TM","11/3/2023",152.9,10,"50% methanol","ND","5.704","ND","1.351","ND","0.12",0.0511,"ND"
"SFE-SH-1S","y","2023-08-28","TM","11/3/2023",150,10,"50% methanol","ND","5.491","ND","1.312","ND","0.12",0.0521,"ND"
"SFE-M-1S","n","2023-08-28","TM","11/3/2023",216.2,10,"50% methanol","ND","4.352","ND","0.966","ND","0.09",0.0361,"ND"
"SFE-M-2","n","2023-08-28","TM","11/3/2023",244.7,10,"50% methanol","ND","14.081","ND","2.529","ND","0.08",0.0319,"ND"
"SFE-M-3","n","2023-08-28","TM","11/3/2023",245,10,"50% methanol","ND","17.336","ND","3.198","ND","0.08",0.0319,"ND"
"SFE-SH-1S","n","2023-09-04","TM","11/3/2023",192.7,10,"50% methanol","ND","7.714","ND","1.961","ND","0.1",0.0405,"ND"
"SFE-M-1S","y","2023-09-04","TM","11/3/2023",186.4,10,"50% methanol","ND","16.344","ND","2.955","ND","0.1",0.0419,"ND"
"SFE-M-1S","y","2023-09-04","TM","11/3/2023",210.3,10,"50% methanol","ND","19.714","ND","3.233","ND","0.09",0.0371,"ND"
"SFE-M-1S","y","2023-09-04","TM","11/3/2023",195.7,10,"50% methanol","ND","18.3","ND","3.141","ND","0.1",0.0399,"ND"
"SFE-M-2","n","2023-09-04","TM","11/3/2023",186.5,10,"50% methanol","ND","16","ND","2.032","ND","0.1",0.0419,"ND"
"SFE-M-3","n","2023-09-04","TM","11/3/2023",237.6,10,"50% methanol","ND","22.963","ND","2.867","ND","0.08",0.0329,"ND"
"SFE-M-4","n","2023-09-04","TM","10/11/2023",197.6,10,"50% methanol","ND","1.699","ND","0.238","ND","0.09",0.0395,"ND"
"BLANK 7","n","NA","BLANK","NA",0,10,"50% methanol","ND","ND","ND","ND","ND","1.87",0.7808,"ND"
"SFE-SH-1S","n","2023-09-12","TM","10/15/2023",216,10,"50% methanol","ND","4.583","ND","0.561","ND","0.09",0.0361,"ND"
"SFE-M-1S","n","2023-09-12","TM","10/15/2023",215.9,10,"50% methanol","ND","11.952","ND","1.078","ND","0.09",0.0362,"ND"
"SFE-M-2","y","2023-09-12","TM","11/13/2023",221.3,10,"50% methanol","ND","8.908","ND","0.828","ND","0.08",0.0353,"ND"
"SFE-M-2","y","2023-09-12","TM","11/13/2023",213.3,10,"50% methanol","ND","8.536","ND","0.896","ND","0.09",0.0366,"ND"
"SFE-M-2","y","2023-09-12","TM","11/13/2023",200.9,10,"50% methanol","ND","9.502","ND","1.021","ND","0.09",0.0389,"ND"
"SFE-M-3","n","2023-09-12","TM","11/13/2023",209.9,10,"50% methanol","ND","18.323","ND","1.667","ND","0.09",0.0372,"ND"
"SFE-M-4","n","2023-09-12","TM","10/15/2023",236.8,10,"50% methanol","ND","1.157","ND","0.095","ND","0.08",0.033,"ND"
"SFE-SH-1S","n","2023-09-18","TM","11/13/2023",217.6,10,"50% methanol","ND","7.295","ND","1.009","ND","0.09",0.0359,"ND"
"SFE-M-1S","n","2023-09-18","TM","11/13/2023",235,10,"50% methanol","ND","36.812","ND","4.958","ND","0.08",0.0332,"ND"
"SFE-M-2","n","2023-09-18","TM","11/13/2023",196,10,"50% methanol","ND","5.437","ND","0.458","ND","0.1",0.0398,"ND"
"SFE-M-3","n","2023-09-18","TM","11/13/2023",235,10,"50% methanol","ND","11.662","ND","1.148","ND","0.08",0.0332,"ND"
"SFE-M-4","y","2023-09-18","TM","11/13/2023",199.8,10,"50% methanol","ND","0.692","ND","0.092","ND","0.09",0.0391,"ND"
"SFE-M-4","y","2023-09-18","TM","11/13/2023",220.9,10,"50% methanol","ND","0.836","ND","0.036","ND","0.08",0.0353,"ND"
"SFE-M-4","y","2023-09-18","TM","11/13/2023",244.5,10,"50% methanol","ND","0.595","ND","0.058","ND","0.08",0.0319,"ND"
"SFE-SH-1S","n","2023-09-24","TM","11/13/2023",238.4,10,"50% methanol","ND","6.946","ND","0.705","ND","0.08",0.0328,"ND"
"SFE-M-1S","n","2023-09-24","TM","11/13/2023",246,10,"50% methanol","ND","11.87","ND","1.375","ND","0.08",0.0317,"ND"
"SFE-M-2","y","2023-09-24","TM","11/13/2023",160.2,10,"50% methanol","ND","4.045","ND","0.408","ND","0.12",0.0487,"ND"
"SFE-M-2","y","2023-09-24","TM","11/13/2023",233.5,10,"50% methanol","ND","3.651","ND","0.371","ND","0.08",0.0334,"ND"
"SFE-M-2","y","2023-09-24","TM","11/13/2023",177,10,"50% methanol","ND","0.619","ND","0.108","ND","0.11",0.0129,"ND"
"SFE-M-3","n","2023-09-24","TM","11/13/2023",190.1,10,"50% methanol","ND","5.312","ND","0.326","ND","0.1",0.012,"ND"
"SFE-M-4","n","2023-09-24","TM","11/13/2023",213.2,10,"50% methanol","ND","0.101","ND","ND","ND","0.09",0.011,"ND"
"SFE-M-1S","n","2023-07-10","TAC","10/7/2023",172.4,10,"50% methanol","ND","ND","ND","ND","ND","0.13",0.0164,"ND"
