"date_time","Temp_C","DO_mgL","SW","pressure_mmHg","discharge_m3_s","depth"
2022-08-09 16:50:00,25.413,9.854,588.223333333333,693.492446857983,1.18175528415457,0.269024358109607
2022-08-09 16:55:00,25.413,9.791,573.341666666667,693.505572973703,1.16854076819757,0.267266034616368
2022-08-09 17:00:00,25.397,9.809,558.46,693.518699089423,1.15532625224057,0.26550771112313
2022-08-09 17:05:00,25.413,9.828,543.679166666667,693.537200662056,1.16854076819757,0.267266034616368
2022-08-09 17:10:00,25.422,9.862,528.898333333333,693.55570223469,1.18175528415457,0.269024358109607
2022-08-09 17:15:00,25.43,9.903,514.1175,693.574203807324,1.19496980011157,0.270782681602845
2022-08-09 17:20:00,25.439,9.91,499.336666666667,693.592705379957,1.19496980011157,0.270782681602845
2022-08-09 17:25:00,25.439,9.886,484.555833333333,693.611206952591,1.19496980011157,0.270782681602845
2022-08-09 17:30:00,25.439,9.842,469.775,693.629708525225,1.19496980011157,0.270782681602845
2022-08-09 17:35:00,25.43,9.84,454.994166666667,693.648210097858,1.18175528415457,0.269024358109607
2022-08-09 17:40:00,25.405,9.854,440.213333333333,693.666711670492,1.16854076819757,0.267266034616368
2022-08-09 17:45:00,25.405,9.854,425.4325,693.685213243126,1.15532625224057,0.26550771112313
2022-08-09 17:50:00,25.405,9.853,410.651666666667,693.703714815759,1.15532625224057,0.26550771112313
2022-08-09 17:55:00,25.397,9.843,395.870833333333,693.722216388393,1.15532625224057,0.26550771112313
2022-08-09 18:00:00,25.405,9.843,381.09,693.740717961027,1.15532625224057,0.26550771112313
2022-08-09 18:05:00,25.388,9.743,367.265,693.75921953366,1.15532625224057,0.26550771112313
2022-08-09 18:10:00,25.363,9.63,353.44,693.777721106294,1.15532625224057,0.26550771112313
2022-08-09 18:15:00,25.321,9.574,339.615,693.796222678928,1.15532625224057,0.26550771112313
2022-08-09 18:20:00,25.312,9.419,325.79,693.814724251561,1.15532625224057,0.26550771112313
2022-08-09 18:25:00,25.296,9.342,311.965,693.833225824195,1.15532625224057,0.26550771112313
2022-08-09 18:30:00,25.287,9.293,298.14,693.851727396829,1.15532625224057,0.26550771112313
2022-08-09 18:35:00,25.27,9.278,284.315,693.870228969462,1.15532625224057,0.26550771112313
2022-08-09 18:40:00,25.27,9.25,270.49,693.888730542096,1.15532625224057,0.26550771112313
2022-08-09 18:45:00,25.27,9.242,256.665,693.90723211473,1.15532625224057,0.26550771112313
2022-08-09 18:50:00,25.245,9.232,242.84,693.925733687363,1.15532625224057,0.26550771112313
2022-08-09 18:55:00,25.262,9.218,229.015,693.944235259997,1.15532625224057,0.26550771112313
2022-08-09 19:00:00,25.27,9.226,215.19,693.962736832631,1.15532625224057,0.26550771112313
2022-08-09 19:05:00,25.253,9.199,199.066,693.981238405264,1.15532625224057,0.26550771112313
2022-08-09 19:10:00,25.253,9.003,182.942,693.999739977898,1.15532625224057,0.26550771112313
2022-08-09 19:15:00,25.253,9.09,166.818,694.018241550532,1.15532625224057,0.26550771112313
2022-08-09 19:20:00,25.253,9.092,150.694,694.036743123165,1.15532625224057,0.26550771112313
2022-08-09 19:25:00,25.253,9.103,134.57,694.055244695799,1.15532625224057,0.26550771112313
2022-08-09 19:30:00,25.253,9.092,118.446,694.073746268433,1.15532625224057,0.26550771112313
2022-08-09 19:35:00,25.245,9.086,102.322,694.092247841067,1.15532625224057,0.26550771112313
2022-08-09 19:40:00,25.22,9.088,86.198,694.1107494137,1.15532625224057,0.26550771112313
2022-08-09 19:45:00,25.203,9.051,70.074,694.129250986334,1.15532625224057,0.26550771112313
2022-08-09 19:50:00,25.195,8.96,53.95,694.147752558968,1.15532625224057,0.26550771112313
2022-08-09 19:55:00,25.195,8.795,37.826,694.166254131601,1.15532625224057,0.26550771112313
