"site_year","date","GPP.mean","GPP.2.5.pct","GPP.97.5.pct","GPP_Rhat","ER.mean","ER.2.5.pct","ER.97.5.pct","ER_Rhat","NEP.mean","NEP.2.5.pct","NEP.97.5.pct","K600_daily_mean","K600_daily_Rhat"
"sfkeel_mir_2023",2023-07-21,4.00169756195604,3.21297595401406,4.78642037662313,1.00100182206257,-4.28948133880966,-5.41220040642604,-3.14729808309422,1.00125000703746,-0.287783776853625,-2.19922445241198,1.63912229352891,3.88731016218981,1.00587941084768
"sfkeel_mir_2023",2023-07-22,4.06776218452669,3.28179934103957,4.8512454192111,1.00071937793936,-4.0713921478756,-5.20639285391137,-2.93433453169801,1.00049850868481,-0.0036299633489163,-1.9245935128718,1.91691088751309,3.83973787912791,1.00590304078774
"sfkeel_mir_2023",2023-07-23,3.93711233013721,3.16232282583521,4.72300812562628,1.00009107022227,-4.10062867354005,-5.22298663614375,-2.98121828933843,0.999913322257645,-0.16351634340284,-2.06066381030854,1.74178983628785,3.79055841389264,1.00955484258922
"sfkeel_mir_2023",2023-07-24,3.9287497362117,3.18070593702089,4.676933008602,1.0007347560811,-3.67591342756838,-4.7891625492199,-2.55493203998277,1.00055255723739,0.252836308643312,-1.60845661219901,2.12200096861923,3.75953839915358,1.00738937600166
"sfkeel_mir_2023",2023-07-25,3.88927642595847,3.14938764522637,4.6391111087639,1.0010738914209,-3.97755461577048,-5.07753143741114,-2.87808075970105,1.00086482288327,-0.0882781898120051,-1.92814379218477,1.76103034906285,3.70501317133721,1.00992780126755
"sfkeel_mir_2023",2023-07-26,4.23607370681503,3.48230307625854,4.98687308884158,1.00179802846231,-4.14335637597234,-5.25324624848418,-3.04584814138678,1.00142054493706,0.0927173308426879,-1.77094317222564,1.9410249474548,3.72110288362514,1.0066908622877
"sfkeel_mir_2023",2023-07-27,3.88265938441554,3.11586531023419,4.63123951790544,1.00037292067641,-3.78423091332524,-4.89717576301901,-2.67822120972753,1.00016893481728,0.0984284710903047,-1.78131045278482,1.95301830817791,3.68345939480522,1.00620367576854
"sfkeel_mir_2023",2023-07-28,3.84042587304699,3.10081534093337,4.59273096972762,1.00048789243989,-3.67135759862087,-4.7693855268886,-2.59539414168358,1.00051034388337,0.169068274426128,-1.66857018595523,1.99733682804403,3.67188185332034,1.00386551260877
"sfkeel_mir_2023",2023-07-29,4.01536082139235,3.25397003725491,4.77168952394353,1.00036127617593,-4.13360708729732,-5.24291928141726,-3.00385058569108,1.00051875346683,-0.118246265904967,-1.98894924416235,1.76783893825245,3.65551547067743,1.00558347283588
"sfkeel_mir_2023",2023-07-30,4.0120444042665,3.27049970809148,4.75041652207003,1.00086831811537,-3.93241389229089,-4.99606286453239,-2.84683042970151,1.00064170527738,0.0796305119756102,-1.72556315644091,1.90358609236852,3.58520478155268,1.00678118196849
"sfkeel_mir_2023",2023-07-31,4.22778086591844,3.48432324372554,4.97413337247866,1.00050736599673,-4.04248447737694,-5.13275256411643,-2.94531518025402,1.00034999090961,0.1852963885415,-1.6484293203909,2.02881819222464,3.54107204457028,1.00562752182729
"sfkeel_mir_2023",2023-08-01,4.31278702553077,3.56957284508721,5.0505111085554,1.0018422141132,-4.31541864936405,-5.39186466629722,-3.24834911528118,1.00152446465337,-0.00263162383328819,-1.82229182121001,1.80216199327422,3.49969224656945,1.0073833088306
"sfkeel_mir_2023",2023-08-02,3.95476508512151,3.2355827141201,4.68430669849804,1.00051060205046,-4.14632296292855,-5.24500767212342,-3.07599994278579,1.0005020562911,-0.191557877807039,-2.00942495800332,1.60830675571225,3.37463635767254,1.0083612710191
"sfkeel_mir_2023",2023-08-03,4.43927206527575,3.70410476218468,5.16599251087759,1.00096841461448,-4.54757453965141,-5.62520261557146,-3.49978826595557,1.00099946050472,-0.108302474375666,-1.92109785338677,1.66620424492203,3.36078492050457,1.00541843947806
"sfkeel_mir_2023",2023-08-04,3.95184368320215,3.22258669784396,4.66695096007565,1.00202176460946,-4.39407343102228,-5.44807389380678,-3.30893847155005,1.00109545295169,-0.442229747820126,-2.22548719596282,1.3580124885256,3.33759312319204,1.00621619620261
"sfkeel_mir_2023",2023-08-05,4.05218841859004,3.34841830649185,4.78049745394667,1.00124581122162,-4.77917578540344,-5.84658195088033,-3.73604609510569,1.00111161439087,-0.726987366813396,-2.49816364438848,1.04445135884098,3.31320631517863,1.00694981700745
