"parameters","SFE.M.1S","SFE.M.2","SFE.M.3","SFE.M.4","SFE.SH.1S","model","predicting"
"lp__",1.00006194579923,1.00105766856738,1.00001911981318,1.00034899739939,1.00032494020534,"physical","M_cover"
"b0",1.00006318056442,1.00016121015492,1.00014515695729,1.00013983946669,1.00098506489871,"physicochemical","M_cover"
"Temperature",1.00077714651153,1.00024578530734,0.999974099605451,1.00009207704807,1.00000799383545,"physicochemical","M_cover"
"Discharge",0.999877496526803,0.999858207978869,1.00061325903076,1.00004728338802,1.00080916722215,"physicochemical","M_cover"
"DIN",1.00017036898996,1.00045784995863,1.00007328777434,1.00018007529784,0.999953995596031,"physicochemical","M_cover"
"OPhos",1.00007665482036,1.00001042281532,1.00018968450553,1.00025780211376,1.00007646226327,"physicochemical","M_cover"
"Conductivity",0.99998457548376,1.00015737916687,1.00043934204316,1.000304221284,0.99986701246351,"physicochemical","M_cover"
"sigma",1.00018736685754,1.00044739128913,1.00037305627771,0.999868386892947,1.00037295855458,"physicochemical","M_cover"
"lp__",1.00101207788532,1.00003389548989,1.00139415132815,1.00043566838584,1.00099666958494,"physicochemical","M_cover"
"b0",NA,1.00018244785987,1.00026608084831,1.00088954307389,1.00032398311742,"all","AC_cover"
"Temperature",NA,1.0003005253573,1.00009274863678,1.00000281495546,1.00033528439216,"all","AC_cover"
"Discharge",NA,1.00010135164221,1.0003931232496,1.00069798304088,1.00056570302059,"all","AC_cover"
"DIN",NA,1.00025377430438,1.00007727954987,1.00004783780758,1.00027577991405,"all","AC_cover"
"OPhos",NA,0.999896342386681,0.999988254060679,1.00045958020866,1.00071468498849,"all","AC_cover"
"Conductivity",NA,1.00040198321167,1.00011693315903,1.00007381995153,1.00052074986484,"all","AC_cover"
"GPP",NA,1.00037426770967,1.00026188656249,0.999936226389365,1.00074390340327,"all","AC_cover"
"sigma",NA,0.999975477589973,0.999982945487207,1.00036286840507,1.00048200407562,"all","AC_cover"
"lp__",NA,1.00072422677685,0.999964448239685,1.00034346584368,1.00063267422131,"all","AC_cover"
"b0",NA,1.00017906661511,1.00006691656004,1.0004354632788,1.00061674688872,"biochemical","AC_cover"
"DIN",NA,0.999981497584338,1.000672115085,1.00037430442353,0.999996075094007,"biochemical","AC_cover"
"OPhos",NA,0.999908311483263,1.00009241933459,1.00056652930438,1.00050130019427,"biochemical","AC_cover"
"Conductivity",NA,1.00000539669078,1.00000175175003,1.00070473172552,1.00092740912793,"biochemical","AC_cover"
"GPP",NA,1.00009902721283,1.00028815170316,1.00012098922015,0.999993791863494,"biochemical","AC_cover"
"sigma",NA,1.00071285153055,1.00071292750142,1.00006585034541,1.0001040963594,"biochemical","AC_cover"
"lp__",NA,1.00078567342407,1.00101658346668,1.00044647651141,1.0001358088208,"biochemical","AC_cover"
"b0",NA,1.0004482453802,1.00012571586736,1.00029134172344,1.00087236540441,"biological","AC_cover"
"GPP",NA,1.00038381079894,0.999980460710671,1.00028261918641,1.00074950119878,"biological","AC_cover"
"sigma",NA,1.00022545720049,1.00025857042585,1.00013011590258,1.00024911019183,"biological","AC_cover"
"lp__",NA,1.00039667151352,1.00026004709435,0.999956124126075,1.00044045266187,"biological","AC_cover"
"b0",1.00086238739524,1.00024642372931,1.00022147708015,1.00061145367422,1.0008749996422,"chemical","AC_cover"
"DIN",1.00024637400406,1.00023764094393,1.00101646825415,1.00035203523349,1.000427712688,"chemical","AC_cover"
"OPhos",1.00033792739312,1.00008165737575,1.00057645992945,0.99995921261206,0.999957892483718,"chemical","AC_cover"
"Conductivity",1.00030525346482,1.00030597434383,1.00075353567184,1.00053677191465,1.00079109468893,"chemical","AC_cover"
"sigma",1.00017517676938,0.999987890088108,1.00036051159086,1.00007591522344,1.00126406297231,"chemical","AC_cover"
"lp__",1.00034976763064,1.00012000583348,1.00027301324413,1.00072548414518,1.00082885827551,"chemical","AC_cover"
"b0",NA,1.00080222414273,1.00179977182817,0.999873082250965,1.00075367888985,"ecohydrological","AC_cover"
"Temperature",NA,1.00119859832905,1.00103141113559,0.99999799818978,1.00018153540195,"ecohydrological","AC_cover"
"Discharge",NA,1.00061947618731,1.0012743858094,1.00004001130726,1.00070426667057,"ecohydrological","AC_cover"
"GPP",NA,1.00123214722336,1.00173844615314,0.999882948775202,1.00031325021732,"ecohydrological","AC_cover"
"sigma",NA,1.00108697478552,1.00020542062114,0.999980731493348,0.999981813739319,"ecohydrological","AC_cover"
"lp__",NA,1.0006514693705,1.00008511425851,1.00149372381467,0.999870072671957,"ecohydrological","AC_cover"
"b0",1.00038968894851,1.00029336741428,1.00063733468859,1.00046121333714,1.00027890773837,"physical","AC_cover"
