"field_date","site_reach","site","reach","sample_type","ATXa_ug_g","dhATXa_ug_g","HTXa_ug_g","ATX_all_ug_g","Chla_ug_g","Pheo_ug_g","per_org_matter","ATX_all_ug_chla_ug","ATX_all_ug_afdm_g"
2022-08-17,"RUS-1S","RUS","1S","TAC",0,0,0,0,3921.18343166071,979.220714156785,0.25,0,0
2022-08-17,"RUS-2","RUS","2","TAC",0,0,0,0,3093.79500632274,486.351700213401,0.29,0,0
2022-08-17,"RUS-3","RUS","3","TAC",0,0.239,0,0.239,4883.71266422706,590.170937597246,0.33,4.89e-05,0.7242424
2022-08-23,"SFE-M-3","SFE-M","3","TAC",0.601,0.178,0,0.779,4303.94992427735,804.286940468409,0.46,0.000181,1.6934783
2022-09-01,"RUS-1S","RUS","1S","TAC",0,0.292,0,0.292,1468.9656607943,628.743250031739,0.23,0.0001988,1.2695652
2022-09-01,"RUS-2","RUS","2","TAC",0,0.17,0,0.17,2029.19204182806,557.204242450256,0.24,8.38e-05,0.7083333
2022-09-06,"SFE-M-1S","SFE-M","1S","TAC",0,0,0,0,2227.16683129192,673.366466376277,0.45,0,0
2022-09-15,"RUS-1S","RUS","1S","TAC",0.463,0.526,0,0.989,2757.72885104398,520.894459648726,0.236,0.0003586,4.190678
2022-09-15,"RUS-2","RUS","2","TAC",0,0,0,0,1604.47878335661,614.331345685896,0.2,0,0
2022-09-17,"SFE-M-1S","SFE-M","1S","TAC",0,0,0,0,1736.66133536954,1111.82134046819,0.46,0,0
2022-09-22,"SAL-3","SAL","3","TAC",0,0,0,0,2249.71562608797,1155.62040282648,0.385,0,0
2023-06-28,"SAL-3","SAL","3","TM",0,0,0,0,866.779613584425,11.696298768466,0.1,0,0
2023-07-03,"SFE-M-3","SFE-M","3","TM",0,0,0,0,6720.41808877024,381.650226240223,0.67,0,0
2023-07-10,"SFE-M-1S","SFE-M","1S","TM",0,0,0,0,7009.15329646886,703.837083780294,0.88,0,0
